repetition,seed,dataset,model,training_mode,augmentation,acc_test,f1_macro_test,f1_weighted_test,num_params,gflops,best_epoch,val_acc_best
1,42,displasia,resnet18,fs,True,0.8913043478260869,0.8908400569530137,0.8908400569530138,11177025,3.647,16,1.0
1,42,displasia,resnet18,fs,False,1.0,1.0,1.0,11177025,3.647,14,0.9736842105263158
1,42,displasia,resnet18,pt_fc,True,0.9347826086956522,0.9347517730496454,0.9347517730496454,11177025,3.647,38,0.9210526315789473
1,42,displasia,resnet18,pt_fc,False,0.9782608695652174,0.9782505910165484,0.9782505910165484,11177025,3.647,43,0.9736842105263158
1,42,displasia,resnet18,pt_all,True,0.9782608695652174,0.9782505910165484,0.9782505910165484,11177025,3.647,6,1.0
1,42,displasia,resnet18,pt_all,False,0.9565217391304348,0.956439393939394,0.956439393939394,11177025,3.647,7,1.0
1,42,ndb,resnet18,fs,True,0.48717948717948717,0.49599217986314753,0.5107602075344011,11178051,3.647,33,0.717948717948718
1,42,ndb,resnet18,fs,False,0.41025641025641024,0.4091954022988506,0.40848806366047746,11178051,3.647,48,0.6410256410256411
1,42,ndb,resnet18,pt_fc,True,0.4358974358974359,0.42643829600351335,0.4500861457383196,11178051,3.647,44,0.7435897435897436
1,42,ndb,resnet18,pt_fc,False,0.5384615384615384,0.5289837496968227,0.5455885370995728,11178051,3.647,14,0.717948717948718
1,42,ndb,resnet18,pt_all,True,0.5384615384615384,0.47222222222222215,0.5106837606837606,11178051,3.647,27,0.7692307692307693
1,42,ndb,resnet18,pt_all,False,0.46153846153846156,0.43107142857142855,0.4534340659340659,11178051,3.647,43,0.7435897435897436
1,42,displasia,resnet34,fs,True,0.9347826086956522,0.9345040341718083,0.9345040341718083,21285185,7.3565,40,1.0
1,42,displasia,resnet34,fs,False,0.8478260869565217,0.8442186744073537,0.8442186744073538,21285185,7.3565,9,0.9736842105263158
1,42,displasia,resnet34,pt_fc,True,0.9347826086956522,0.9345040341718083,0.9345040341718083,21285185,7.3565,7,0.868421052631579
1,42,displasia,resnet34,pt_fc,False,1.0,1.0,1.0,21285185,7.3565,7,1.0
1,42,displasia,resnet34,pt_all,True,0.9782608695652174,0.9782505910165484,0.9782505910165484,21285185,7.3565,1,1.0
1,42,displasia,resnet34,pt_all,False,0.9782608695652174,0.9782505910165484,0.9782505910165484,21285185,7.3565,4,1.0
1,42,ndb,resnet34,fs,True,0.358974358974359,0.32938076416337286,0.33992094861660077,21286211,7.3565,8,0.6153846153846154
1,42,ndb,resnet34,fs,False,0.46153846153846156,0.38461538461538464,0.4201183431952663,21286211,7.3565,32,0.6923076923076923
1,42,ndb,resnet34,pt_fc,True,0.5384615384615384,0.5336507936507936,0.5571428571428572,21286211,7.3565,37,0.6410256410256411
1,42,ndb,resnet34,pt_fc,False,0.5128205128205128,0.494203835380306,0.5159365521356472,21286211,7.3565,49,0.6410256410256411
1,42,ndb,resnet34,pt_all,True,0.5384615384615384,0.45959595959595956,0.5046620046620046,21286211,7.3565,41,0.6923076923076923
1,42,ndb,resnet34,pt_all,False,0.5641025641025641,0.5696618357487923,0.5834559643255296,21286211,7.3565,47,0.717948717948718
1,123,displasia,resnet18,fs,True,0.9782608695652174,0.9782505910165484,0.9782505910165484,11177025,3.647,15,1.0
1,123,displasia,resnet18,fs,False,0.9565217391304348,0.956439393939394,0.956439393939394,11177025,3.647,15,1.0
1,123,displasia,resnet18,pt_fc,True,0.9565217391304348,0.956439393939394,0.956439393939394,11177025,3.647,11,0.8947368421052632
1,123,displasia,resnet18,pt_fc,False,0.9782608695652174,0.9782505910165484,0.9782505910165484,11177025,3.647,15,0.9736842105263158
1,123,displasia,resnet18,pt_all,True,0.8695652173913043,0.8673076923076923,0.8673076923076924,11177025,3.647,8,1.0
1,123,displasia,resnet18,pt_all,False,1.0,1.0,1.0,11177025,3.647,39,1.0
1,123,ndb,resnet18,fs,True,0.5897435897435898,0.4914702581369248,0.5391090391090392,11178051,3.647,37,0.6923076923076923
1,123,ndb,resnet18,fs,False,0.4358974358974359,0.42532051282051286,0.4446005917159763,11178051,3.647,2,0.6923076923076923
1,123,ndb,resnet18,pt_fc,True,0.38461538461538464,0.38603425559947296,0.403466099118273,11178051,3.647,45,0.6923076923076923
1,123,ndb,resnet18,pt_fc,False,0.5128205128205128,0.4950396825396825,0.5199175824175825,11178051,3.647,5,0.6153846153846154
1,123,ndb,resnet18,pt_all,True,0.5384615384615384,0.5277777777777778,0.5576923076923077,11178051,3.647,29,0.6923076923076923
1,123,ndb,resnet18,pt_all,False,0.5897435897435898,0.5634118967452301,0.5817145817145818,11178051,3.647,35,0.6666666666666666
1,123,displasia,resnet34,fs,True,0.9347826086956522,0.9345040341718083,0.9345040341718083,21285185,7.3565,8,0.9736842105263158
1,123,displasia,resnet34,fs,False,0.9782608695652174,0.9782505910165484,0.9782505910165484,21285185,7.3565,12,0.9736842105263158
1,123,displasia,resnet34,pt_fc,True,0.8913043478260869,0.8900047824007652,0.8900047824007651,21285185,7.3565,5,0.8947368421052632
1,123,displasia,resnet34,pt_fc,False,1.0,1.0,1.0,21285185,7.3565,44,1.0
1,123,displasia,resnet34,pt_all,True,0.8913043478260869,0.8900047824007652,0.8900047824007651,21285185,7.3565,16,1.0
1,123,displasia,resnet34,pt_all,False,0.6521739130434783,0.6043010752688172,0.6043010752688173,21285185,7.3565,10,0.9736842105263158
1,123,ndb,resnet34,fs,True,0.38461538461538464,0.3808970935407718,0.3939126008091526,21286211,7.3565,41,0.6410256410256411
1,123,ndb,resnet34,fs,False,0.5128205128205128,0.4333333333333333,0.47948717948717945,21286211,7.3565,20,0.6666666666666666
1,123,ndb,resnet34,pt_fc,True,0.48717948717948717,0.48926767676767674,0.5085955710955711,21286211,7.3565,47,0.48717948717948717
1,123,ndb,resnet34,pt_fc,False,0.5384615384615384,0.5163398692810457,0.5414781297134238,21286211,7.3565,10,0.6666666666666666
1,123,ndb,resnet34,pt_all,True,0.5384615384615384,0.4850773993808049,0.5273160276256251,21286211,7.3565,2,0.6410256410256411
1,123,ndb,resnet34,pt_all,False,0.5384615384615384,0.5340930674264007,0.5452553144860837,21286211,7.3565,26,0.717948717948718
1,2025,displasia,resnet18,fs,True,0.9782608695652174,0.9782505910165484,0.9782505910165484,11177025,3.647,8,0.9736842105263158
1,2025,displasia,resnet18,fs,False,0.9782608695652174,0.9782505910165484,0.9782505910165484,11177025,3.647,10,0.9736842105263158
1,2025,displasia,resnet18,pt_fc,True,0.9565217391304348,0.9565217391304348,0.9565217391304348,11177025,3.647,36,0.8947368421052632
1,2025,displasia,resnet18,pt_fc,False,0.9782608695652174,0.9782505910165484,0.9782505910165484,11177025,3.647,35,0.9736842105263158
1,2025,displasia,resnet18,pt_all,True,0.9130434782608695,0.9123809523809524,0.9123809523809523,11177025,3.647,5,0.9736842105263158
1,2025,displasia,resnet18,pt_all,False,1.0,1.0,1.0,11177025,3.647,7,1.0
1,2025,ndb,resnet18,fs,True,0.48717948717948717,0.4259259259259259,0.4572649572649573,11178051,3.647,30,0.6666666666666666
1,2025,ndb,resnet18,fs,False,0.5384615384615384,0.4636466080685147,0.5144640349508504,11178051,3.647,23,0.6666666666666666
1,2025,ndb,resnet18,pt_fc,True,0.46153846153846156,0.4609241078385538,0.47832380335886643,11178051,3.647,18,0.717948717948718
1,2025,ndb,resnet18,pt_fc,False,0.5128205128205128,0.49673202614379086,0.5188536953242835,11178051,3.647,13,0.6410256410256411
1,2025,ndb,resnet18,pt_all,True,0.41025641025641024,0.4146628679962013,0.4311198772737234,11178051,3.647,23,0.6923076923076923
1,2025,ndb,resnet18,pt_all,False,0.5641025641025641,0.534134514020662,0.5620104121052888,11178051,3.647,21,0.7692307692307693
1,2025,displasia,resnet34,fs,True,0.9130434782608695,0.9123809523809524,0.9123809523809523,21285185,7.3565,34,1.0
1,2025,displasia,resnet34,fs,False,0.9565217391304348,0.956439393939394,0.956439393939394,21285185,7.3565,21,1.0
1,2025,displasia,resnet34,pt_fc,True,0.9130434782608695,0.9123809523809524,0.9123809523809523,21285185,7.3565,36,0.8947368421052632
1,2025,displasia,resnet34,pt_fc,False,1.0,1.0,1.0,21285185,7.3565,20,0.9736842105263158
1,2025,displasia,resnet34,pt_all,True,1.0,1.0,1.0,21285185,7.3565,17,1.0
1,2025,displasia,resnet34,pt_all,False,1.0,1.0,1.0,21285185,7.3565,12,1.0
1,2025,ndb,resnet34,fs,True,0.46153846153846156,0.46571428571428575,0.4758241758241758,21286211,7.3565,13,0.6410256410256411
1,2025,ndb,resnet34,fs,False,0.5128205128205128,0.4732204732204732,0.498686344840191,21286211,7.3565,26,0.6153846153846154
1,2025,ndb,resnet34,pt_fc,True,0.48717948717948717,0.48888888888888893,0.5128205128205128,21286211,7.3565,8,0.6153846153846154
1,2025,ndb,resnet34,pt_fc,False,0.5384615384615384,0.5137509549274255,0.5384909208438621,21286211,7.3565,14,0.7435897435897436
1,2025,ndb,resnet34,pt_all,True,0.46153846153846156,0.46713757966954894,0.48039684101065167,21286211,7.3565,17,0.717948717948718
1,2025,ndb,resnet34,pt_all,False,0.5897435897435898,0.5549019607843136,0.5787330316742081,21286211,7.3565,28,0.7948717948717948
