dataset_label,model_label,training_mode_label,augmentation_label,repetitions,acc_test_mean,acc_test_std,f1_macro_test_mean,f1_macro_test_std,f1_weighted_test_mean,f1_weighted_test_std,num_params_mean,num_params_std,gflops_mean,gflops_std,best_epoch_mean,best_epoch_std,val_acc_best_mean,val_acc_best_std
displasia,ResNet18,FS,com augmentation,3,0.9710144927536232,0.012551092808470101,0.9710076403878439,0.012545158485629222,0.9710076403878439,0.012545158485629222,11177025.0,0.0,3.647,0.0,13.0,4.358898943540674,0.9912280701754387,0.015193428136569065
displasia,ResNet18,FS,sem augmentation,3,0.9782608695652174,0.0,0.9782505910165483,0.0,0.9782505910165483,0.0,11177025.0,0.0,3.647,0.0,13.0,2.6457513110645907,0.9824561403508772,0.015193428136569074
displasia,ResNet18,PT-ALL,com augmentation,3,0.9492753623188405,0.054708945183121395,0.9492307830073788,0.05473073175315577,0.9492307830073788,0.05473073175315577,11177025.0,0.0,3.647,0.0,6.333333333333333,1.5275252316519465,0.9912280701754387,0.015193428136569065
displasia,ResNet18,PT-ALL,sem augmentation,3,1.0,0.0,1.0,0.0,1.0,0.0,11177025.0,0.0,3.647,0.0,17.666666666666668,18.475208614068027,1.0,0.0
displasia,ResNet18,PT-FC,com augmentation,3,0.9420289855072465,0.012551092808470101,0.9420084284099085,0.0125688957769928,0.9420084284099085,0.0125688957769928,11177025.0,0.0,3.647,0.0,28.333333333333332,15.044378795195678,0.9035087719298245,0.01519342813656901
displasia,ResNet18,PT-FC,sem augmentation,3,0.9637681159420289,0.012551092808470101,0.9637646897591393,0.012545158485629222,0.9637646897591393,0.012545158485629222,11177025.0,0.0,3.647,0.0,31.0,14.422205101855956,0.9736842105263158,0.0
displasia,ResNet34,FS,com augmentation,3,0.9710144927536232,0.03320707025330313,0.9710007880220646,0.03322277099573971,0.9710007880220646,0.03322277099573971,21285185.0,0.0,7.3565,0.0,27.333333333333332,17.009801096230767,0.9912280701754387,0.015193428136569083
displasia,ResNet34,FS,sem augmentation,3,0.9637681159420289,0.01255109280847011,0.9637372413621258,0.012568996929996846,0.9637372413621258,0.012568996929996846,21285185.0,0.0,7.3565,0.0,14.0,6.244997998398398,0.9824561403508772,0.015193428136569065
displasia,ResNet34,PT-ALL,com augmentation,3,0.9782608695652174,0.021739130434782594,0.9782574433823278,0.021739131244754895,0.9782574433823278,0.021739131244754895,21285185.0,0.0,7.3565,0.0,11.333333333333334,8.962886439832502,1.0,0.0
displasia,ResNet34,PT-ALL,sem augmentation,3,0.9782608695652174,0.021739130434782566,0.978229994985314,0.021780310333858934,0.978229994985314,0.021780310333858934,21285185.0,0.0,7.3565,0.0,8.666666666666666,4.163331998932266,0.9912280701754387,0.015193428136569083
displasia,ResNet34,PT-FC,com augmentation,3,0.927536231884058,0.025102185616940224,0.9270945479641132,0.025484695112055495,0.9270945479641132,0.025484695112055495,21285185.0,0.0,7.3565,0.0,16.0,17.349351572897472,0.8859649122807017,0.015193428136569122
displasia,ResNet34,PT-FC,sem augmentation,3,0.9710144927536232,0.012551092808470101,0.9710076403878439,0.012545158485629222,0.9710076403878439,0.012545158485629222,21285185.0,0.0,7.3565,0.0,23.666666666666668,18.77054430040145,0.9912280701754387,0.015193428136569065
ndb,ResNet18,FS,com augmentation,3,0.452991452991453,0.02960770611228845,0.4257640375023887,0.00758541086732564,0.4536593595113032,0.02063441334399992,11178051.0,0.0,3.647,0.0,33.333333333333336,3.511884584284247,0.6923076923076922,0.025641025641025633
ndb,ResNet18,FS,sem augmentation,3,0.49572649572649574,0.05337605126836236,0.4287513829541265,0.025729474566749174,0.46980470926941337,0.02382567256741305,11178051.0,0.0,3.647,0.0,24.333333333333332,23.028967265887832,0.6666666666666666,0.025641025641025578
ndb,ResNet18,PT-ALL,com augmentation,3,0.5213675213675214,0.12905699889351716,0.5025683168116118,0.13086605566130388,0.5148749877198152,0.13061910054582446,11178051.0,0.0,3.647,0.0,26.333333333333332,3.055050463303893,0.717948717948718,0.04441155916843281
ndb,ResNet18,PT-ALL,sem augmentation,3,0.5641025641025641,0.05128205128205132,0.5349955493633655,0.06192856072565055,0.5598044994596719,0.06179417605798638,11178051.0,0.0,3.647,0.0,33.0,11.135528725660043,0.7264957264957266,0.05337605126836242
